stock_id,km,price,make,model,year,version,bluetooth,largo,ancho,altura,car_play
243587,77400,461999,Volkswagen,Touareg,2018,3.0 V6 TDI WOLFSBURG EDITION AUTO 4WD,NA,4801,1940,1709,NA
229702,102184,660999,Land Rover,Discovery Sport,2018,2.0 HSE LUXURY AUTO 4WD,NA,4599,2069,1724,NA
160422,56419,866999,BMW,Serie 2,2018,3.0 M2 DCT,NA,4468,1854,1410,NA
308634,76000,238999,Toyota,Avanza,2018,1.5 XLE AT,NA,4140,1660,1695,NA
305016,29377,313999,Toyota,Corolla,2020,1.8 LE AUTO,NA,4650,1776,1475,NA
277436,26011,188999,Ford,Figo,2020,1.5 IMPULSE,NA,4249,1699,1525,NA
206413,46609,400999,Infiniti,Q70,2016,3.7 SEDUCTION AT,NA,4980,1845,1500,NA
306473,43640,224999,Volkswagen,Vento,2020,1.6 COMFORTLINE AUTO,NA,4384,1699,1467,NA
322165,42578,362999,Honda,BR-V,2021,1.5 PRIME CVT,NA,4457,1699,1667,NA
315464,54435,238999,Mazda,Mazda 3,2018,2.0 SEDAN I TA,NA,4580,2053,1450,NA
306004,106659,156999,Volkswagen,Gol,2017,1.6 5 PTAS. TRENDLINE,NA,3897,1656,1464,NA
301045,22465,469999,Dodge,Journey,2022,1.5 GT AUTO,NA,4695,1885,1700,NA
290164,12279,275999,MG,MG5,2022,1.5 ELEGANCE CVT,NA,4601,1818,1489,NA
306689,51389,183999,Fiat,Palio,2018,1.6 ADVENTURE AT,NA,4305,1721,1648,NA
239267,69925,349999,Jeep,Compass,2019,2.4 LATITUDE AUTO,NA,4394,1819,1635,NA
125904,95300,253999,Honda,Odyssey,2016,3.5 LX,NA,5180,2010,1735,NA
323943,41000,361999,Mazda,CX-5,2018,2.0 I SPORT AT 2WD,NA,4550,1842,1675,NA
323668,21000,338999,Nissan,Kicks,2020,1.6 ADVANCE LTS XTRONIC,NA,4294,1760,1590,NA
217986,46656,366999,Mini,Cooper,2018,1.5 COOPER PEPPER AUTO,NA,3821,1727,1414,NA
311726,28430,226999,Chevrolet,Onix,2021,1.0 LS A,NA,4474,1730,1470,NA
322474,43509,342999,Volkswagen,T-Cross,2020,1.6 COMFORTLINE AUTO,NA,4199,1760,1568,NA
320505,18383,268999,Nissan,Sentra,2019,1.8 ADVANCE AUTO,NA,4636,1761,1503,NA
312100,28148,248999,Renault,Captur,2018,2.0 ICONIC AUTO,NA,4310,1796,1622,NA
317294,68431,270999,Mercedes Benz,Clase C,2014,1.8 C 250 CGI SPORT AT,NA,4591,1770,1447,NA
322966,30486,385999,Chevrolet,Captiva,2022,1.5 LT 7 PASAJEROS B CVT,NA,4715,1835,1750,NA
287196,24275,538999,Mercedes Benz,Clase A,2020,1.3 A 200 PROGRESSIVE DCT,NA,4419,1796,1440,NA
303912,63680,180999,Volkswagen,Gol,2018,1.6 5 PTAS. TRENDLINE ASG,NA,3897,1656,1464,NA
324711,27461,637999,Nissan,Frontier,2022,2.5 PRO-4X AUTO 4WD,NA,5252,1875,1851,NA
310446,97098,149999,Ford,Figo,2017,1.5 FIGO ENERGY MT,NA,4249,1699,1525,NA
311758,42000,396999,Mazda,CX-5,2019,2.5 S GRAND TOURING AUTO 2WD,NA,4550,1842,1675,NA
316174,27000,285999,Ford,EcoSport,2020,1.5 TREND,NA,4269,1765,1693,NA
307304,52136,272999,Volkswagen,Passat,2016,1.5 TREND,NA,4802,1855,1417,NA
317114,73050,180999,KIA,FORTE,2016,2.0 LX MT,NA,4560,1780,1445,NA
325111,41610,412999,BMW,X1,2019,1.5 SDRIVE18IA EXECUTIVE DCT,NA,4439,1821,1598,NA
299917,78000,187999,Seat,Ibiza,2016,1.6 SC STYLE TIPTRONIC,NA,4043,1693,1428,NA
311895,60564,217999,KIA,Rio,2020,1.6 LX,NA,4385,1725,1460,NA
283547,102874,148999,Mazda,Mazda 3,2012,2.0 SEDAN I TA,NA,4595,1755,1470,NA
227162,74064,414999,Honda,CR-V,2017,2.4 EX,NA,4586,1855,1657,NA
302304,37105,722999,BMW,Serie 1,2021,2.0 M135I XDRIVE AUTO,NA,4319,1799,1434,NA
229925,63290,421999,BMW,Serie 3,2018,2.0 320IA SPORT LINE AUTO,NA,4633,1811,1429,NA
302496,22700,346999,Mazda,Mazda 3,2021,2.5 I SPORT AUTO,NA,4662,1797,1445,NA
324498,99564,199999,Nissan,Sentra,2018,1.8 SENSE AUTO,NA,4636,1761,1505,NA
311636,45772,231999,Chevrolet,Trax,2016,1.8 B LT AT,NA,4248,1776,1657,NA
166931,104648,243999,Ford,Escape,2016,2.5 S PLUS AT,NA,4524,1839,1684,NA
321064,50290,236999,KIA,Rio,2019,1.6 LX AUTO,NA,4385,1725,1460,NA
293172,47336,462999,Lincoln,Nautilus,2019,2.7 RESERVE AUTO 4WD,NA,4826,1999,1681,NA
297031,88822,254999,Toyota,Yaris,2019,1.5 S AUTO,NA,4145,1730,1495,NA
322962,21000,408999,KIA,FORTE,2023,2.0 GT LINE IVT,NA,4640,1800,1450,NA
315931,62277,385999,Nissan,Murano,2019,3.5 EXCLUSIVE AUTO 4WD,NA,4888,1916,1691,NA
